USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 159852  9184 ?        Ss   Sep25   0:02 /sbin/init auto noprompt
gdm        1169  0.0  1.2 647796 50044 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm        1173  0.0  1.3 942708 52928 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm        1176  0.0  0.1 201996  4636 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm        1177  0.0  1.2 667116 51664 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm        1180  0.0  0.2 267004  8792 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm        1181  0.0  0.1 202016  4504 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm        1182  0.0  0.1 275732  4744 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm        1186  0.0  0.2 305236  8296 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm        1191  0.0  0.2 451668  9172 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm        1195  0.0  0.1 332860  7952 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm        1198  0.0  1.2 578368 50820 tty1     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
gdm        1208  0.0  0.1 204888  6588 tty1     Sl   Sep25   0:00 /usr/lib/ibus/ibus-engine-simple
colord     1242  0.0  0.3 324976 13872 ?        Ssl  Sep25   0:00 /usr/lib/colord/colord
root       1265  0.0  0.2 415460  9772 ?        Sl   Sep25   0:00 gdm-session-worker [pam/gdm-password]
wjf        1269  0.0  0.2  77088  8312 ?        Ss   Sep25   0:00 /lib/systemd/systemd --user
wjf        1270  0.0  0.0 113968  2512 ?        S    Sep25   0:00 (sd-pam)
wjf        1283  0.0  0.1 288344  7896 ?        Sl   Sep25   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
wjf        1287  0.0  0.1 212128  5804 tty2     Ssl+ Sep25   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
wjf        1289  0.0  1.8 410060 73056 tty2     Sl+  Sep25   0:10 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
wjf        1297  0.0  0.2  54092  8496 ?        Ss   Sep25   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
wjf        1300  0.0  0.3 837744 14312 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
wjf        1396  0.0  0.0  11300   320 ?        Ss   Sep25   0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
wjf        1398  0.0  0.1 349292  6328 ?        Ssl  Sep25   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
wjf        1403  0.0  0.1  49920  4100 ?        S    Sep25   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
wjf        1405  0.0  0.1 220772  6908 ?        Sl   Sep25   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
wjf        1426  0.1  9.3 3466692 376740 tty2   Sl+  Sep25   0:43 /usr/bin/gnome-shell
wjf        1432  0.0  0.1 291968  6996 ?        Ssl  Sep25   0:00 /usr/lib/gvfs/gvfsd
wjf        1437  0.0  0.1 416112  5312 ?        Sl   Sep25   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
wjf        1448  0.0  0.3 1172184 12228 ?       S<l  Sep25   0:01 /usr/bin/pulseaudio --start --log-target=syslog
wjf        1458  0.0  0.1 361492  7968 tty2     Sl   Sep25   0:01 ibus-daemon --xim --panel disable
wjf        1464  0.0  0.5 689888 21144 ?        Sl   Sep25   0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
wjf        1466  0.0  0.1 280748  6592 tty2     Sl   Sep25   0:00 /usr/lib/ibus/ibus-dconf
wjf        1468  0.0  0.5 344712 22040 tty2     Sl   Sep25   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
wjf        1474  0.0  0.1 278688  5820 ?        Sl   Sep25   0:00 /usr/lib/ibus/ibus-portal
wjf        1481  0.0  0.6 1372144 25336 ?       Ssl  Sep25   0:00 /usr/lib/evolution/evolution-source-registry
wjf        1491  0.0  0.7 776180 31952 ?        Sl   Sep25   0:00 /usr/lib/gnome-online-accounts/goa-daemon
wjf        1499  0.0  0.2 306436  8328 ?        Ssl  Sep25   0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
wjf        1503  0.0  0.1 378812  7692 ?        Ssl  Sep25   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
wjf        1508  0.0  0.1 275868  4916 ?        Ssl  Sep25   0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
wjf        1516  0.0  0.1 288656  6696 ?        Ssl  Sep25   0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
wjf        1519  0.0  0.2 377088  8216 ?        Sl   Sep25   0:01 /usr/lib/gnome-online-accounts/goa-identity-service
wjf        1527  0.0  0.1 274044  6052 ?        Ssl  Sep25   0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
wjf        1531  0.0  0.5 517808 23552 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-power
wjf        1533  0.0  0.2 349320 10080 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
wjf        1534  0.0  0.1 423344  5804 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
wjf        1537  0.0  0.1 275732  4772 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
wjf        1540  0.0  0.2 452832  9188 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
wjf        1543  0.0  0.1 451668  7868 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
wjf        1548  0.0  0.1 332864  7960 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
wjf        1549  0.0  0.5 494516 22432 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
wjf        1558  0.0  0.5 502768 22716 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
wjf        1570  0.0  0.1 278156  5820 tty2     Sl+  Sep25   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
wjf        1572  0.0  0.5 659468 22852 tty2     Sl+  Sep25   0:02 /usr/lib/gnome-settings-daemon/gsd-color
